Brand,Model,Year,Milage,Transmission,Location,Color,Fuel,Price,Post Date
Hyundai || ﻱﺍﺪﻧﻮﻴﻫ,RB || Accent RB ﺖﻨﺴﻛﺍ,2016,120000,‎ﻚﻴﺗﺎﻣﻮﺗﺃ,ﻡﺍﺮﻫﻻﺍ ﻖﺋﺍﺪﺣ,ﺮﻤﺣﺍ,ﻦﻳﺰﻨﺑ,620000,2025-04-18
Renault || ﻮﻨﻳﺭ,Fluence || ﺲﻧﺍﻮﻠﻓ,2015,145000,‎ﻚﻴﺗﺎﻣﻮﺗﺃ,ﻦﻴﺳﺪﻨﻬﻤﻟﺍ,ﻲﻀﻓ,ﻦﻳﺰﻨﺑ,570000,2025-04-18
Peugeot || ﻮﺠﻴﺑ,3008,2023,50000,‎ﻚﻴﺗﺎﻣﻮﺗﺃ,ﺓﺰﻴﺠﻟﺍ,ﻲﻀﻓ,ﻦﻳﺰﻨﺑ,1680000,2025-04-19
Nissan || ﻥﺎﺴﻴﻧ,Sunny || ﻰﻨﺻ,2014,194000,‎ﻚﻴﺗﺎﻣﻮﺗﺃ,ﻕﻭﺮﺸﻟﺍ,ﻱﺰﻧﻭﺮﺑ,ﻦﻳﺰﻨﺑ,375000,2025-04-19
Volkswagen || ﻦﻏﺎﻓ ﺲﻜﻟﻮﻓ,Passat || ﺕﺎﺳﺎﺑ,2022,74800,‎ﻚﻴﺗﺎﻣﻮﺗﺃ,ﺓﺪﻳﺪﺠﻟﺍ ﺓﺮﻫﺎﻘﻟﺍ - ﻊﻤﺠﺘﻟﺍ,ﻦﻛﺍﺪﻟﺍ ﻕﺭﺯﻷﺍ,ﻦﻳﺰﻨﺑ,1720000,2025-04-19
Renault || ﻮﻨﻳﺭ,Kadjar || ﺭﺎﺟﺩﺎﻛ,2022,74800,‎ﻚﻴﺗﺎﻣﻮﺗﺃ,ﺓﺪﻳﺪﺠﻟﺍ ﺓﺮﻫﺎﻘﻟﺍ - ﻊﻤﺠﺘﻟﺍ,ﻦﻛﺍﺪﻟﺍ ﻕﺭﺯﻷﺍ,ﻦﻳﺰﻨﺑ,1150000,2025-04-18
Renault || ﻮﻨﻳﺭ,Sandero Step Way || ( ﻯﺍﻭ  ﺐﻴﺘﺳ )  ﻭﺮﻳﺪﻧﺎﺳ,2019,90000,‎ﻚﻴﺗﺎﻣﻮﺗﺃ,ﺮﺼﻧ ﺔﻨﻳﺪﻣ,ﻕﺭﺯﺃ,ﻦﻳﺰﻨﺑ,595000,2025-04-18
Nissan || ﻥﺎﺴﻴﻧ,Sunny || ﻰﻨﺻ,2012,231724,ﻝﺍﻮﻴﻧﺎﻣ,ﺮﺼﻧ ﺔﻨﻳﺪﻣ,ﺩﻮﺳﺃ,ﻦﻳﺰﻨﺑ,360000,2025-04-18
Daewoo || ﻮﻳﺍﺩ,Lanos 2 || 2 ﺱﻮﻧﻻ,2001,200000,ﻝﺍﻮﻴﻧﺎﻣ,ﺎﻄﻨﻃ,ﺩﻮﺳﺃ,ﻦﻳﺰﻨﺑ,130000,2025-04-19
Renault || ﻮﻨﻳﺭ,Sandero Step Way || ( ﻯﺍﻭ  ﺐﻴﺘﺳ )  ﻭﺮﻳﺪﻧﺎﺳ,2022,55000,‎ﻚﻴﺗﺎﻣﻮﺗﺃ,ﻦﻴﺳﺪﻨﻬﻤﻟﺍ,ﺩﻮﺳﺃ,ﻦﻳﺰﻨﺑ,715000,2025-04-19
Opel || ﻞﺑﻭﺍ,Astra || ﺍﺮﺘﺳﺃ,2018,160000,‎ﻚﻴﺗﺎﻣﻮﺗﺃ,ﻁﺎﻴﻣﺩ,ﺾﻴﺑﺃ,ﻦﻳﺰﻨﺑ,675000,2025-04-19
Daihatsu || ﻮﺴﺗﺎﻬﻳﺍﺩ,SIRION || ﻥﻮﻳﺮﻴﺳ,2007,170476,‎ﻚﻴﺗﺎﻣﻮﺗﺃ,ﺓﺪﻳﺪﺠﻟﺍ ﺓﺮﻫﺎﻘﻟﺍ - ﻊﻤﺠﺘﻟﺍ,ﺩﻮﺳﺃ,ﻦﻳﺰﻨﺑ,480000,2025-04-18
